2025-07-31 21:14:33	INFO	pubsub	host registered successfully	{"host": "system:gateway", "node_id": "nb2", "type": "*http.ServerService"}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "system:gateway", "expected": "system:gateway"}
2025-07-31 21:14:33	DEBUG	runner	starting operation	{"kind": "entry.create", "id": "system:processes", "meta": {"comment":"Process execution host"}}
2025-07-31 21:14:33	INFO	core	service registered	{"serviceID": "system:gateway"}
2025-07-31 21:14:33	INFO	hosts	process host created	{"id": "system:processes"}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "system:processes", "expected": "system:processes"}
2025-07-31 21:14:33	DEBUG	runner	starting operation	{"kind": "entry.create", "id": "system:root", "meta": {"comment":"Root filesystem"}}
2025-07-31 21:14:33	INFO	pubsub	host registered successfully	{"host": "system:processes", "node_id": "nb2", "type": "*host.Host"}
2025-07-31 21:14:33	DEBUG	hosts	host registered	{"host": "system:processes", "managed": true}
2025-07-31 21:14:33	INFO	core	service registered	{"serviceID": "system:processes"}
2025-07-31 21:14:33	INFO	fs.dir	directory filesystem created	{"id": "system:root", "path": "./"}
2025-07-31 21:14:33	INFO	fs.dir	directory filesystem created	{"id": "system:root", "path": "./"}
2025-07-31 21:14:33	DEBUG	fs	filesystem registered successfully	{"fs": "system:root"}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "system:root", "expected": "system:root"}
2025-07-31 21:14:33	DEBUG	runner	starting operation	{"kind": "entry.create", "id": "system:terminal", "meta": {"comment":"System terminal host"}}
2025-07-31 21:14:33	INFO	terminal	terminal service created	{"id": "system:terminal"}
2025-07-31 21:14:33	INFO	pubsub	host registered successfully	{"host": "system:terminal", "node_id": "nb2", "type": "*terminal.Terminal"}
2025-07-31 21:14:33	INFO	core	service registered	{"serviceID": "system:terminal"}
2025-07-31 21:14:33	DEBUG	hosts	host registered	{"host": "system:terminal", "managed": true}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "system:terminal", "expected": "system:terminal"}
2025-07-31 21:14:33	DEBUG	runner	starting operation	{"kind": "entry.create", "id": "system:uploads", "meta": {"comment":"Directory for uploads"}}
2025-07-31 21:14:33	INFO	fs.dir	directory filesystem created	{"id": "system:uploads", "path": "./app/uploads/"}
2025-07-31 21:14:33	INFO	fs.dir	directory filesystem created	{"id": "system:uploads", "path": "./app/uploads/"}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "system:uploads", "expected": "system:uploads"}
2025-07-31 21:14:33	DEBUG	runner	starting operation	{"kind": "entry.create", "id": "wippy.actor:actor", "meta": {"comment":"Actor pattern library for btea processes"}}
2025-07-31 21:14:33	DEBUG	fs	filesystem registered successfully	{"fs": "system:uploads"}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "wippy.actor:actor", "expected": "wippy.actor:actor"}
2025-07-31 21:14:33	DEBUG	runner	starting operation	{"kind": "entry.create", "id": "wippy.lib:bapp", "meta": {"comment":"Unified btea app runner library"}}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "wippy.lib:bapp", "expected": "wippy.lib:bapp"}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.docs:llm.spec", "meta": {"comment":"Unified interface for working with large language models, providing text generation, tool calling, structured output, embeddings, and model discovery across multiple providers","tags":["llm","ai","generation","embeddings","tool-calling"],"type":"module.spec"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.google.vertex:application_host", "meta": {"description":"Host ID for the application processes"}}
2025-07-31 21:14:33	DEBUG	runner	starting operation	{"kind": "entry.create", "id": "wippy.llm.google.vertex:token_refresh", "meta": {"comment":"Process that periodically refreshes tokens","default_host":"system:processes","provider":"vertex"}}
2025-07-31 21:14:33	INFO	pfunc	registered process function handler	{"id": "wippy.llm.google.vertex:token_refresh", "host": "system:processes"}
2025-07-31 21:14:33	DEBUG	funcs	function registered	{"function": "wippy.llm.google.vertex:token_refresh"}
2025-07-31 21:14:33	DEBUG	lua.proc	added process	{"id": "wippy.llm.google.vertex:token_refresh"}
2025-07-31 21:14:33	DEBUG	runner	received accept event	{"id": "wippy.llm.google.vertex:token_refresh", "expected": "wippy.llm.google.vertex:token_refresh"}
2025-07-31 21:14:33	DEBUG	prototypes	prototype registered	{"process": "wippy.llm.google.vertex:token_refresh"}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:claude-3-5-sonnet", "meta": {"capabilities":["tool_use","vision","caching","generate"],"comment":"High-performance Claude model with strong reasoning and multimodal capabilities","name":"claude-3-5-sonnet","title":"Claude 3.5 Sonnet","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:claude-3-7-sonnet", "meta": {"capabilities":["tool_use","vision","thinking","caching","generate"],"comment":"Anthropic's most intelligent model with extended thinking capabilities for complex reasoning","name":"claude-3-7-sonnet","title":"Claude 3.7 Sonnet","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:claude-4-sonnet", "meta": {"capabilities":["tool_use","vision","thinking","caching","generate"],"comment":"High-performance model with exceptional reasoning capabilities and extended thinking","name":"claude-4-sonnet","title":"Claude 4 Sonnet","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:claude3-haiku", "meta": {"capabilities":["tool_use","vision","caching","generate"],"comment":"Fastest Claude model optimized for speed while maintaining high intelligence","name":"claude-3-5-haiku","title":"Claude 3.5 Haiku","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gemini-1.5-flash", "meta": {"capabilities":["tool_use","vision","generate"],"comment":"Fast and versatile performance across a diverse variety of tasks","name":"gemini-1.5-flash","title":"Gemini 1.5 Flash","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gemini-1.5-pro", "meta": {"capabilities":["tool_use","vision","generate"],"comment":"Supports text or chat prompts for a text or code response. Supports long-context understanding up to the maximum input token limit","name":"gemini-1.5-pro","title":"Gemini 1.5 Pro","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gemini-2.0-flash", "meta": {"capabilities":["tool_use","vision","generate"],"comment":"Workhorse model for all daily tasks. Strong overall performance and supports real-time streaming Live API","name":"gemini-2.0-flash","title":"Gemini 2.0 Flash","type":"llm.model"}}
